Felix Houphouet Boigny Airport,펠릭스 우후에 보아니 공항,ABJ,DIAP,아프리카,Africa/Abidjan,Cote dIvoire,코트디부아르,Abidjan,5.261390209,-3.926290035
Abuja International Airport,아부자 국제공항,ABV,DNAA,아프리카,Africa/Lagos,Nigeria,나이지리아,Abuja,9.006790161,7.263169765
Akure Airport,아쿠레 공항,AKR,DNAK,아프리카,Africa/Lagos,Nigeria,나이지리아,Akure,7.246739864,5.301010132
Benin Airport,베닌 공항,BNI,DNBE,아프리카,Africa/Lagos,Nigeria,나이지리아,Benin,6.316979885,5.599500179
Magaret Ekpo International Airport,매그렛 익포 국제공항,CBQ,DNCA,아프리카,Africa/Lagos,Nigeria,나이지리아,Calabar,4.976019859,8.347200394
Akanu Ibiam International Airport,아쿠누 이비암 국제공항,ENU,DNEN,아프리카,Africa/Lagos,Nigeria,나이지리아,Enugu,6.474269867,7.56196022
Ibadan Airport,이바단 공항,IBA,DNIB,아프리카,Africa/Lagos,Nigeria,나이지리아,Ibadan,7.362460136,3.978329897
Ilorin International Airport,일로린 국제공항,ILR,DNIL,아프리카,Africa/Lagos,Nigeria,나이지리아,Ilorin,8.440210342,4.493919849
Jos Airport,조스 공항,JOS,DNJO,아프리카,Africa/Lagos,Nigeria,나이지리아,Jos,9.639829636,8.869050026
Kaduna International Airport,카두나 국제공항,KAD,DNKA,아프리카,Africa/Lagos,Nigeria,나이지리아,Kaduna,10.6960001,7.320109844
Mallam Aminu Kano International Airport,말람 아미뉴 카노 국제공항,KAN,DNKN,아프리카,Africa/Lagos,Nigeria,나이지리아,Kano,12.0476,8.52462
Maiduguri International Airport,마이두구리 국제공항,MIU,DNMA,아프리카,Africa/Lagos,Nigeria,나이지리아,Maiduguri,11.85529995,13.08090019
Makurdi Air Force Base,마쿠르디 공군기지,MDI,DNMK,아프리카,Africa/Lagos,Nigeria,나이지리아,Makurdi,7.70388,8.61394
Murtala Muhammed Airport,무탈라 무하메드 공항,LOS,DNMM,아프리카,Africa/Lagos,Nigeria,나이지리아,Lagos,6.577370167,3.321160078
Minna Airport,민나 공항,MXJ,DNMN,아프리카,Africa/Lagos,Nigeria,나이지리아,Minna,9.652170181,6.462259769
Port Harcourt International Airport,포트하커트 국제공항,PHC,DNPO,아프리카,Africa/Lagos,Nigeria,나이지리아,Port Harcourt,5.015490055,6.949590206
Sadiq Abubakar III International Airport,다식 아브바카 더 서드 국제공항,SKO,DNSO,아프리카,Africa/Lagos,Nigeria,나이지리아,Sokoto,12.91629982,5.207190037
Yola Airport,욜라 공항,YOL,DNYO,아프리카,Africa/Lagos,Nigeria,나이지리아,Yola,9.25755024,12.43039989
Maradi Airport,마라디 공항,MFQ,DRRM,아프리카,Africa/Niamey,Niger,니제르,Maradi,13.50249958,7.126749992
Diori Hamani International Airport,디오리 히머니 국제공항,NIM,DRRN,아프리카,Africa/Niamey,Niger,니제르,Niamey,13.4815,2.18361
Tahoua Airport,타후아 공항,THZ,DRRT,아프리카,Africa/Niamey,Niger,니제르,Taouha,14.8757,5.265359879
Mano Dayak International Airport,마노다약 국제공항,AJY,DRZA,아프리카,Africa/Niamey,Niger,니제르,Agades,16.9659996,8.000109673
Zinder Airport,진더 공항,ZND,DRZR,아프리카,Africa/Niamey,Niger,니제르,Zinder,13.77900028,8.98375988
Habib Bourguiba International Airport,후비브 부르기바 국제공항,MIR,DTMB,아프리카,Africa/Tunis,Tunisia,튀니지,Monastir,35.7580986,10.75469971
Tunis-Carthage International Airport,튀니스 카르타쥐 국제공항,TUN,DTTA,아프리카,Africa/Tunis,Tunisia,튀니지,Tunis,36.85100174,10.22719955
Gafsa Airport,가프사 공항,GAF,DTTF,아프리카,Africa/Tunis,Tunisia,튀니지,Gafsa,34.42200089,8.822500229
Gabes Airport,게이브스 공항,GAE,DTTG,아프리카,Africa/Tunis,Tunisia,튀니지,Gabes,33.87689972,10.10330009
Melita Airport,멀리타 공항,DJE,DTTJ,아프리카,Africa/Tunis,Tunisia,튀니지,Djerba,33.875,10.7755003
El Maou Airport,엘 마오우 공항,SFA,DTTX,아프리카,Africa/Tunis,Tunisia,튀니지,Sfax,34.7179985,10.69099998
Nefta Airport,네플라 공항,TOE,DTTZ,아프리카,Africa/Tunis,Tunisia,튀니지,Tozeur,33.93970108,8.110560417
Lome-Tokoin Airport,로메 토쿠완 공항,LFW,DXXX,아프리카,Africa/Lome,Togo,토고,Lome,6.165609837,1.254510045
Antwerpen International Airport,앤트워프 국제공항,ANR,EBAW,유럽,Europe/Brussels,Belgium,벨기에,Antwerp,51.18939972,4.460279942
Brussels Airport,브뤼셀 내셔널 공항,BRU,EBBR,유럽,Europe/Brussels,Belgium,벨기에,Brussels,50.90140152,4.48443985
Charleroi Airport,챨레로이 공항,CRL,EBCI,유럽,Europe/Brussels,Belgium,벨기에,Charleroi,50.459202,4.45382
Liege Airport,리에주 공항,LGG,EBLG,유럽,Europe/Brussels,Belgium,벨기에,Liege,50.63740158,5.443220139
Ostend-Bruges International Airport,오스텐 브루즈 국제공항,OST,EBOS,유럽,Europe/Brussels,Belgium,벨기에,Ostend,51.19889832,2.862220049
Schoenefeld International Airport,쉐너펠트 국제공항,SXF,EDDB,유럽,Europe/Berlin,Germany,독일,Berlin,52.380001,13.5225
Dresden Klotzsche Airport,드레스덴 클로츠 공항,DRS,EDDC,유럽,Europe/Berlin,Germany,독일,Dresden,51.13280106,13.76720047
Erfurt Airport,에르푸르트 공항,ERF,EDDE,유럽,Europe/Berlin,Germany,독일,Erfurt,50.97980118,10.95810032
